GameID,DateGame,VisitorTeam,HomeTeam,ShotType,PlayerID,PlayerName,XCoord,YCoord,ShotDistance
201710230SAS,2017-10-23,TOR,SAS,fg2,anderky01,"Kyle Anderson",3,50,5.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,murrade01,"Dejounte Murray",34,68,7.00
201710230SAS,2017-10-23,TOR,SAS,fg2,murrade01,"Dejounte Murray",0,-6,0.00
201710230SAS,2017-10-23,TOR,SAS,fg2,aldrila01,"LaMarcus Aldridge",-26,36,4.00
201710230SAS,2017-10-23,TOR,SAS,fg2,aldrila01,"LaMarcus Aldridge",-16,136,13.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,aldrila01,"LaMarcus Aldridge",50,180,18.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,murrade01,"Dejounte Murray",-11,1,1.00
201710230SAS,2017-10-23,TOR,SAS,fg2,aldrila01,"LaMarcus Aldridge",18,-2,1.00
201710230SAS,2017-10-23,TOR,SAS,fg3,greenda02,"Danny Green",-92,234,25.00
201710230SAS,2017-10-23,TOR,SAS,fg2,anderky01,"Kyle Anderson",-69,156,17.00
201710230SAS,2017-10-23,TOR,SAS,fg2,greenda02,"Danny Green",-15,37,3.00
